Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,967154,-,-,-,39.78,-104.99,0,1584,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,GHI
2023,1,1,0,30,0.9,0
2023,1,1,1,30,0.2,0
2023,1,1,2,30,-0.30000000000000004,0
2023,1,1,3,30,-0.4,0
2023,1,1,4,30,-0.30000000000000004,0
2023,1,1,5,30,-0.1,0
2023,1,1,6,30,-0.1,0
2023,1,1,7,30,-0.30000000000000004,0
2023,1,1,8,30,-0.5,0
2023,1,1,9,30,-0.5,0
2023,1,1,10,30,-0.6000000000000001,0
2023,1,1,11,30,-0.9,0
2023,1,1,12,30,-1.5,0
2023,1,1,13,30,-1.8,0
2023,1,1,14,30,-0.8,0
2023,1,1,15,30,1.3,87
2023,1,1,16,30,3.2,154
2023,1,1,17,30,4.4,248
2023,1,1,18,30,5,338
2023,1,1,19,30,5,417
2023,1,1,20,30,4.6000000000000005,269
2023,1,1,21,30,3.7,106
2023,1,1,22,30,2,44
2023,1,1,23,30,0.4,11
2023,1,2,0,30,-0.5,0
2023,1,2,1,30,-1.1,0
2023,1,2,2,30,-1.4000000000000001,0
2023,1,2,3,30,-1.6,0
2023,1,2,4,30,-1.6,0
2023,1,2,5,30,-1.7000000000000002,0
2023,1,2,6,30,-2,0
2023,1,2,7,30,-2.3000000000000003,0
2023,1,2,8,30,-2.5,0
2023,1,2,9,30,-2.7,0
2023,1,2,10,30,-3.2,0
2023,1,2,11,30,-3.8000000000000003,0
2023,1,2,12,30,-4.3,0
2023,1,2,13,30,-4.4,0
2023,1,2,14,30,-3.7,0
2023,1,2,15,30,-2.4000000000000004,113
2023,1,2,16,30,-1.4000000000000001,61
2023,1,2,17,30,-0.8,67
2023,1,2,18,30,-0.4,145
2023,1,2,19,30,-0.1,115
2023,1,2,20,30,-0.2,266
2023,1,2,21,30,-0.9,209
2023,1,2,22,30,-2.1,56
2023,1,2,23,30,-3.4000000000000004,11
2023,1,3,0,30,-4,0
2023,1,3,1,30,-4.2,0
2023,1,3,2,30,-4.2,0
2023,1,3,3,30,-4.3,0
2023,1,3,4,30,-4.800000000000001,0
2023,1,3,5,30,-5.5,0
2023,1,3,6,30,-6.1000000000000005,0
2023,1,3,7,30,-6.4,0
2023,1,3,8,30,-6.6000000000000005,0
2023,1,3,9,30,-6.800000000000001,0
2023,1,3,10,30,-7.2,0
2023,1,3,11,30,-7.5,0
2023,1,3,12,30,-7.7,0
2023,1,3,13,30,-7.7,0
2023,1,3,14,30,-6.800000000000001,0
2023,1,3,15,30,-4.5,68
2023,1,3,16,30,-2.2,316
2023,1,3,17,30,-0.7000000000000001,204
2023,1,3,18,30,0.5,75
2023,1,3,19,30,1.2000000000000002,141
2023,1,3,20,30,1.5,33
2023,1,3,21,30,1,310
2023,1,3,22,30,-1.1,81
2023,1,3,23,30,-3.6,12
2023,1,4,0,30,-4.9,0
2023,1,4,1,30,-5.300000000000001,0
2023,1,4,2,30,-5.300000000000001,0
2023,1,4,3,30,-5.300000000000001,0
2023,1,4,4,30,-5.5,0
2023,1,4,5,30,-5.800000000000001,0
2023,1,4,6,30,-6,0
2023,1,4,7,30,-6.2,0
2023,1,4,8,30,-6.2,0
2023,1,4,9,30,-5.9,0
2023,1,4,10,30,-5.800000000000001,0
2023,1,4,11,30,-5.9,0
2023,1,4,12,30,-5.800000000000001,0
2023,1,4,13,30,-5.5,0
2023,1,4,14,30,-4.6000000000000005,0
2023,1,4,15,30,-2.9000000000000004,167
2023,1,4,16,30,-1.4000000000000001,327
2023,1,4,17,30,-0.1,447
2023,1,4,18,30,0.8,513
2023,1,4,19,30,1.3,518
2023,1,4,20,30,1.2000000000000002,461
2023,1,4,21,30,0.30000000000000004,348
2023,1,4,22,30,-1.8,193
2023,1,4,23,30,-4,34
2023,1,5,0,30,-5.1000000000000005,0
2023,1,5,1,30,-5.800000000000001,0
2023,1,5,2,30,-6.5,0
2023,1,5,3,30,-7.1000000000000005,0
2023,1,5,4,30,-7.5,0
2023,1,5,5,30,-7.7,0
2023,1,5,6,30,-7.800000000000001,0
2023,1,5,7,30,-7.7,0
2023,1,5,8,30,-7.6000000000000005,0
2023,1,5,9,30,-7.4,0
2023,1,5,10,30,-7.2,0
2023,1,5,11,30,-6.800000000000001,0
2023,1,5,12,30,-6.4,0
2023,1,5,13,30,-5.6000000000000005,0
2023,1,5,14,30,-3.5,0
2023,1,5,15,30,-0.4,35
2023,1,5,16,30,2.2,64
2023,1,5,17,30,3.8000000000000003,97
2023,1,5,18,30,5.1000000000000005,81
2023,1,5,19,30,6,136
2023,1,5,20,30,6.1000000000000005,82
2023,1,5,21,30,4.800000000000001,82
2023,1,5,22,30,2.5,191
2023,1,5,23,30,0.30000000000000004,24
2023,1,6,0,30,-1.1,0
2023,1,6,1,30,-1.6,0
2023,1,6,2,30,-1.9000000000000001,0
2023,1,6,3,30,-2.2,0
2023,1,6,4,30,-2.2,0
2023,1,6,5,30,-2.1,0
2023,1,6,6,30,-2.1,0
2023,1,6,7,30,-2.4000000000000004,0
2023,1,6,8,30,-2.9000000000000004,0
2023,1,6,9,30,-3.3000000000000003,0
2023,1,6,10,30,-3.4000000000000004,0
2023,1,6,11,30,-3.4000000000000004,0
2023,1,6,12,30,-3.2,0
2023,1,6,13,30,-3,0
2023,1,6,14,30,-1.6,0
2023,1,6,15,30,0.4,81
2023,1,6,16,30,1.7000000000000002,222
2023,1,6,17,30,2.4000000000000004,332
2023,1,6,18,30,3,354
2023,1,6,19,30,3.4000000000000004,387
2023,1,6,20,30,3.7,378
2023,1,6,21,30,3.3000000000000003,340
2023,1,6,22,30,2.2,189
2023,1,6,23,30,1.1,34
2023,1,7,0,30,0.5,0
2023,1,7,1,30,0.1,0
2023,1,7,2,30,-0.1,0
2023,1,7,3,30,-0.2,0
2023,1,7,4,30,-0.4,0
2023,1,7,5,30,-0.6000000000000001,0
2023,1,7,6,30,-0.8,0
2023,1,7,7,30,-0.9,0
2023,1,7,8,30,-1.1,0
2023,1,7,9,30,-1.4000000000000001,0
2023,1,7,10,30,-2,0
2023,1,7,11,30,-2.6,0
2023,1,7,12,30,-3.1,0
2023,1,7,13,30,-3.4000000000000004,0
2023,1,7,14,30,-2.4000000000000004,0
2023,1,7,15,30,0.2,160
2023,1,7,16,30,2.9000000000000004,317
2023,1,7,17,30,4.9,436
2023,1,7,18,30,6,502
2023,1,7,19,30,6.6000000000000005,511
2023,1,7,20,30,6.7,456
2023,1,7,21,30,5.5,346
2023,1,7,22,30,3,195
2023,1,7,23,30,0.7000000000000001,38
2023,1,8,0,30,-0.7000000000000001,0
2023,1,8,1,30,-1.5,0
2023,1,8,2,30,-1.9000000000000001,0
2023,1,8,3,30,-2.4000000000000004,0
2023,1,8,4,30,-3,0
2023,1,8,5,30,-3.6,0
2023,1,8,6,30,-4,0
2023,1,8,7,30,-4.1000000000000005,0
2023,1,8,8,30,-3.9000000000000004,0
2023,1,8,9,30,-3.6,0
2023,1,8,10,30,-3.4000000000000004,0
2023,1,8,11,30,-3,0
2023,1,8,12,30,-2.8000000000000003,0
2023,1,8,13,30,-2.7,0
2023,1,8,14,30,-1.3,0
2023,1,8,15,30,1.5,102
2023,1,8,16,30,4.2,64
2023,1,8,17,30,6.6000000000000005,401
2023,1,8,18,30,8.6,341
2023,1,8,19,30,9.200000000000001,262
2023,1,8,20,30,8.3,395
2023,1,8,21,30,6.6000000000000005,356
2023,1,8,22,30,4.7,163
2023,1,8,23,30,3.3000000000000003,24
2023,1,9,0,30,2.2,0
2023,1,9,1,30,1,0
2023,1,9,2,30,0.1,0
2023,1,9,3,30,-0.2,0
2023,1,9,4,30,-0.4,0
2023,1,9,5,30,-0.6000000000000001,0
2023,1,9,6,30,-0.6000000000000001,0
2023,1,9,7,30,-0.4,0
2023,1,9,8,30,-0.4,0
2023,1,9,9,30,-0.5,0
2023,1,9,10,30,-0.9,0
2023,1,9,11,30,-1.4000000000000001,0
2023,1,9,12,30,-1.8,0
2023,1,9,13,30,-1.7000000000000002,0
2023,1,9,14,30,-0.1,6
2023,1,9,15,30,2.9000000000000004,166
2023,1,9,16,30,5.9,326
2023,1,9,17,30,8.4,381
2023,1,9,18,30,9.600000000000001,495
2023,1,9,19,30,9.1,250
2023,1,9,20,30,7.800000000000001,184
2023,1,9,21,30,6.300000000000001,49
2023,1,9,22,30,4.7,43
2023,1,9,23,30,3.4000000000000004,41
2023,1,10,0,30,3,0
2023,1,10,1,30,3.1,0
2023,1,10,2,30,3.1,0
2023,1,10,3,30,2.6,0
2023,1,10,4,30,2.1,0
2023,1,10,5,30,2,0
2023,1,10,6,30,2.3000000000000003,0
2023,1,10,7,30,2.3000000000000003,0
2023,1,10,8,30,2,0
2023,1,10,9,30,1.7000000000000002,0
2023,1,10,10,30,1.3,0
2023,1,10,11,30,0.8,0
2023,1,10,12,30,0.6000000000000001,0
2023,1,10,13,30,0.7000000000000001,0
2023,1,10,14,30,2.3000000000000003,15
2023,1,10,15,30,5.5,161
2023,1,10,16,30,8.200000000000001,316
2023,1,10,17,30,10.100000000000001,436
2023,1,10,18,30,11,505
2023,1,10,19,30,11.4,517
2023,1,10,20,30,11,468
2023,1,10,21,30,9.1,359
2023,1,10,22,30,5.9,207
2023,1,10,23,30,3.2,45
2023,1,11,0,30,2.4000000000000004,0
2023,1,11,1,30,2.6,0
2023,1,11,2,30,2.5,0
2023,1,11,3,30,1.9000000000000001,0
2023,1,11,4,30,1.2000000000000002,0
2023,1,11,5,30,1.1,0
2023,1,11,6,30,1.5,0
2023,1,11,7,30,1.9000000000000001,0
2023,1,11,8,30,1.7000000000000002,0
2023,1,11,9,30,0.9,0
2023,1,11,10,30,0.1,0
2023,1,11,11,30,-0.30000000000000004,0
2023,1,11,12,30,-0.4,0
2023,1,11,13,30,-0.5,0
2023,1,11,14,30,-0.30000000000000004,3
2023,1,11,15,30,0.2,46
2023,1,11,16,30,0.9,108
2023,1,11,17,30,1.6,161
2023,1,11,18,30,2,192
2023,1,11,19,30,2.1,291
2023,1,11,20,30,1.9000000000000001,264
2023,1,11,21,30,1.4000000000000001,181
2023,1,11,22,30,0.2,128
2023,1,11,23,30,-1.2000000000000002,30
2023,1,12,0,30,-1.9000000000000001,0
2023,1,12,1,30,-2.2,0
2023,1,12,2,30,-2.5,0
2023,1,12,3,30,-2.5,0
2023,1,12,4,30,-2.5,0
2023,1,12,5,30,-2.5,0
2023,1,12,6,30,-2.8000000000000003,0
2023,1,12,7,30,-3.2,0
2023,1,12,8,30,-3.7,0
2023,1,12,9,30,-3.9000000000000004,0
2023,1,12,10,30,-4,0
2023,1,12,11,30,-4.3,0
2023,1,12,12,30,-4.7,0
