Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,209378,-,-,-,34.04,-118.29,0,67,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,GHI,Temperature
2023,1,1,0,30,13,13.8
2023,1,1,1,30,0,13.600000000000001
2023,1,1,2,30,0,13.600000000000001
2023,1,1,3,30,0,13.600000000000001
2023,1,1,4,30,0,13.600000000000001
2023,1,1,5,30,0,13.600000000000001
2023,1,1,6,30,0,13.5
2023,1,1,7,30,0,12.9
2023,1,1,8,30,0,12.3
2023,1,1,9,30,0,11.9
2023,1,1,10,30,0,11.700000000000001
2023,1,1,11,30,0,11.3
2023,1,1,12,30,0,10.600000000000001
2023,1,1,13,30,0,9.8
2023,1,1,14,30,0,9.8
2023,1,1,15,30,59,11
2023,1,1,16,30,229,12.4
2023,1,1,17,30,389,13.3
2023,1,1,18,30,395,14.100000000000001
2023,1,1,19,30,408,14.5
2023,1,1,20,30,409,14.8
2023,1,1,21,30,22,14.8
2023,1,1,22,30,264,14.5
2023,1,1,23,30,204,13.3
2023,1,2,0,30,41,11.5
2023,1,2,1,30,0,10.3
2023,1,2,2,30,0,9.600000000000001
2023,1,2,3,30,0,9
2023,1,2,4,30,0,8.5
2023,1,2,5,30,0,8
2023,1,2,6,30,0,7.6000000000000005
2023,1,2,7,30,0,7.2
2023,1,2,8,30,0,6.9
2023,1,2,9,30,0,6.800000000000001
2023,1,2,10,30,0,6.7
2023,1,2,11,30,0,6.6000000000000005
2023,1,2,12,30,0,6.800000000000001
2023,1,2,13,30,0,7.1000000000000005
2023,1,2,14,30,0,7.5
2023,1,2,15,30,28,8.4
2023,1,2,16,30,185,10
2023,1,2,17,30,319,11.600000000000001
2023,1,2,18,30,258,12.8
2023,1,2,19,30,425,13.3
2023,1,2,20,30,226,13.3
2023,1,2,21,30,127,13
2023,1,2,22,30,89,12.5
2023,1,2,23,30,76,11.5
2023,1,3,0,30,15,10.600000000000001
2023,1,3,1,30,0,10.100000000000001
2023,1,3,2,30,0,9.5
2023,1,3,3,30,0,9.200000000000001
2023,1,3,4,30,0,9.5
2023,1,3,5,30,0,10
2023,1,3,6,30,0,10
2023,1,3,7,30,0,9.600000000000001
2023,1,3,8,30,0,9.4
2023,1,3,9,30,0,9.5
2023,1,3,10,30,0,9.5
2023,1,3,11,30,0,9.600000000000001
2023,1,3,12,30,0,9.8
2023,1,3,13,30,0,10.100000000000001
2023,1,3,14,30,0,10.5
2023,1,3,15,30,15,11.100000000000001
2023,1,3,16,30,86,11.8
2023,1,3,17,30,128,12.700000000000001
2023,1,3,18,30,240,13.3
2023,1,3,19,30,402,13.8
2023,1,3,20,30,265,14.4
2023,1,3,21,30,183,14.8
2023,1,3,22,30,142,14.8
2023,1,3,23,30,80,14.200000000000001
2023,1,4,0,30,14,13.5
2023,1,4,1,30,0,13
2023,1,4,2,30,0,12.700000000000001
2023,1,4,3,30,0,12.600000000000001
2023,1,4,4,30,0,12.700000000000001
2023,1,4,5,30,0,12.700000000000001
2023,1,4,6,30,0,12.8
2023,1,4,7,30,0,12.9
2023,1,4,8,30,0,13.100000000000001
2023,1,4,9,30,0,13.3
2023,1,4,10,30,0,13.3
2023,1,4,11,30,0,13.200000000000001
2023,1,4,12,30,0,13.200000000000001
2023,1,4,13,30,0,13.200000000000001
2023,1,4,14,30,0,13.5
2023,1,4,15,30,27,14.100000000000001
2023,1,4,16,30,28,14.8
2023,1,4,17,30,14,15.100000000000001
2023,1,4,18,30,67,15.3
2023,1,4,19,30,81,15.3
2023,1,4,20,30,23,15.3
2023,1,4,21,30,75,15.100000000000001
2023,1,4,22,30,81,14.8
2023,1,4,23,30,79,14.5
2023,1,5,0,30,21,14.3
2023,1,5,1,30,0,14.100000000000001
2023,1,5,2,30,0,14
2023,1,5,3,30,0,14
2023,1,5,4,30,0,13.8
2023,1,5,5,30,0,13.4
2023,1,5,6,30,0,13
2023,1,5,7,30,0,12.8
2023,1,5,8,30,0,12.600000000000001
2023,1,5,9,30,0,12.4
2023,1,5,10,30,0,12.3
2023,1,5,11,30,0,12.200000000000001
2023,1,5,12,30,0,12.200000000000001
2023,1,5,13,30,0,12.3
2023,1,5,14,30,0,12.600000000000001
2023,1,5,15,30,11,13.200000000000001
2023,1,5,16,30,30,13.8
2023,1,5,17,30,37,14.5
2023,1,5,18,30,89,15
2023,1,5,19,30,250,15.3
2023,1,5,20,30,331,15.200000000000001
2023,1,5,21,30,477,14.8
2023,1,5,22,30,364,14.3
2023,1,5,23,30,210,13.5
2023,1,6,0,30,48,12.3
2023,1,6,1,30,0,11.5
2023,1,6,2,30,0,11.3
2023,1,6,3,30,0,11
2023,1,6,4,30,0,10.5
2023,1,6,5,30,0,10
2023,1,6,6,30,0,9.600000000000001
