Year,Month,Day,Hour,Minute,GHI,Temperature,GHI ,CTemp,PowerOutput_W
2023,1,1,0,30,13,13.8,13,14.1575,4.852525860000001
2023,1,1,1,30,0,13.6,0,13.6,0.0
2023,1,1,2,30,0,13.6,0,13.6,0.0
2023,1,1,3,30,0,13.6,0,13.6,0.0
2023,1,1,4,30,0,13.6,0,13.6,0.0
2023,1,1,5,30,0,13.6,0,13.6,0.0
2023,1,1,6,30,0,13.5,0,13.5,0.0
2023,1,1,7,30,0,12.9,0,12.9,0.0
2023,1,1,8,30,0,12.3,0,12.3,0.0
2023,1,1,9,30,0,11.9,0,11.9,0.0
2023,1,1,10,30,0,11.7,0,11.7,0.0
2023,1,1,11,30,0,11.3,0,11.3,0.0
2023,1,1,12,30,0,10.6,0,10.6,0.0
2023,1,1,13,30,0,9.8,0,9.8,0.0
2023,1,1,14,30,0,9.8,0,9.8,0.0
2023,1,1,15,30,59,11.0,59,12.6225,22.133853539999997
2023,1,1,16,30,229,12.4,229,18.6975,84.20656554000001
2023,1,1,17,30,389,13.3,389,23.997500000000002,140.51732633999998
2023,1,1,18,30,395,14.1,395,24.9625,142.21813050000003
2023,1,1,19,30,408,14.5,408,25.72,146.52043776
2023,1,1,20,30,409,14.8,409,26.0475,146.71560474
2023,1,1,21,30,22,14.8,22,15.405000000000001,8.17837416
2023,1,1,22,30,264,14.5,264,21.76,96.08696064
2023,1,1,23,30,204,13.3,204,18.91,74.96064863999999
2023,1,2,0,30,41,11.5,41,12.6275,15.380901540000004
2023,1,2,1,30,0,10.3,0,10.3,0.0
2023,1,2,2,30,0,9.6,0,9.6,0.0
2023,1,2,3,30,0,9.0,0,9.0,0.0
2023,1,2,4,30,0,8.5,0,8.5,0.0
2023,1,2,5,30,0,8.0,0,8.0,0.0
2023,1,2,6,30,0,7.6,0,7.6,0.0
2023,1,2,7,30,0,7.2,0,7.2,0.0
2023,1,2,8,30,0,6.9,0,6.9,0.0
2023,1,2,9,30,0,6.800000000000001,0,6.800000000000001,0.0
2023,1,2,10,30,0,6.7,0,6.7,0.0
2023,1,2,11,30,0,6.6000000000000005,0,6.6000000000000005,0.0
2023,1,2,12,30,0,6.800000000000001,0,6.800000000000001,0.0
2023,1,2,13,30,0,7.1000000000000005,0,7.1000000000000005,0.0
2023,1,2,14,30,0,7.5,0,7.5,0.0
2023,1,2,15,30,28,8.4,28,9.17,10.622525760000002
2023,1,2,16,30,185,10.0,185,15.0875,68.84458649999999
2023,1,2,17,30,319,11.6,319,20.3725,116.64683514000002
2023,1,2,18,30,258,12.8,258,19.895000000000003,94.49211816
2023,1,2,19,30,425,13.3,425,24.9875,153.00650249999998
2023,1,2,20,30,226,13.3,226,19.515,82.87728264
2023,1,2,21,30,127,13.0,127,16.4925,47.042473859999994
2023,1,2,22,30,89,12.5,89,14.9475,33.135079139999995
2023,1,2,23,30,76,11.5,76,13.59,28.42140384
2023,1,3,0,30,15,10.6,15,11.0125,5.6568105
2023,1,3,1,30,0,10.1,0,10.1,0.0
2023,1,3,2,30,0,9.5,0,9.5,0.0
2023,1,3,3,30,0,9.2,0,9.2,0.0
2023,1,3,4,30,0,9.5,0,9.5,0.0
2023,1,3,5,30,0,10.0,0,10.0,0.0
2023,1,3,6,30,0,10.0,0,10.0,0.0
2023,1,3,7,30,0,9.6,0,9.6,0.0
2023,1,3,8,30,0,9.4,0,9.4,0.0
2023,1,3,9,30,0,9.5,0,9.5,0.0
2023,1,3,10,30,0,9.5,0,9.5,0.0
2023,1,3,11,30,0,9.6,0,9.6,0.0
2023,1,3,12,30,0,9.8,0,9.8,0.0
2023,1,3,13,30,0,10.1,0,10.1,0.0
2023,1,3,14,30,0,10.5,0,10.5,0.0
2023,1,3,15,30,15,11.1,15,11.5125,5.6476305
2023,1,3,16,30,86,11.8,86,14.165000000000001,32.10053544
2023,1,3,17,30,128,12.7,128,16.22,47.455580160000004
2023,1,3,18,30,240,13.3,240,19.9,87.89817599999999
2023,1,3,19,30,402,13.8,402,24.855,144.79134696000003
2023,1,3,20,30,265,14.4,265,21.6875,96.4744425
2023,1,3,21,30,183,14.8,183,19.832500000000003,67.03747866
2023,1,3,22,30,142,14.8,142,18.705000000000002,52.21412136000001
2023,1,3,23,30,80,14.2,80,16.4,29.642111999999997
2023,1,4,0,30,14,13.5,14,13.885,5.23046664
2023,1,4,1,30,0,13.0,0,13.0,0.0
2023,1,4,2,30,0,12.7,0,12.7,0.0
2023,1,4,3,30,0,12.6,0,12.6,0.0
