Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,349948,-,-,-,36.22,-115.15,0,630,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,GHI
2023,1,1,0,30,11.8,0
2023,1,1,1,30,11.200000000000001,0
2023,1,1,2,30,10.9,0
2023,1,1,3,30,10.8,0
2023,1,1,4,30,10.8,0
2023,1,1,5,30,10.700000000000001,0
2023,1,1,6,30,10.700000000000001,0
2023,1,1,7,30,10.700000000000001,0
2023,1,1,8,30,10.600000000000001,0
2023,1,1,9,30,10.200000000000001,0
2023,1,1,10,30,9.8,0
2023,1,1,11,30,9.600000000000001,0
2023,1,1,12,30,9.700000000000001,0
2023,1,1,13,30,9.9,0
2023,1,1,14,30,10,0
2023,1,1,15,30,10.600000000000001,29
2023,1,1,16,30,11.8,212
2023,1,1,17,30,13,393
2023,1,1,18,30,14,205
2023,1,1,19,30,14.700000000000001,545
2023,1,1,20,30,14.9,459
2023,1,1,21,30,14.5,347
2023,1,1,22,30,13.600000000000001,8
2023,1,1,23,30,11.5,100
2023,1,2,0,30,9.5,0
2023,1,2,1,30,8.700000000000001,0
2023,1,2,2,30,8.3,0
2023,1,2,3,30,7.800000000000001,0
2023,1,2,4,30,7.4,0
2023,1,2,5,30,7,0
2023,1,2,6,30,6.6000000000000005,0
2023,1,2,7,30,6,0
2023,1,2,8,30,5.2,0
2023,1,2,9,30,4.4,0
2023,1,2,10,30,3.8000000000000003,0
2023,1,2,11,30,3.3000000000000003,0
2023,1,2,12,30,2.9000000000000004,0
2023,1,2,13,30,2.5,0
2023,1,2,14,30,2.9000000000000004,0
2023,1,2,15,30,5.2,80
2023,1,2,16,30,7.7,250
2023,1,2,17,30,9.5,404
2023,1,2,18,30,10.8,508
2023,1,2,19,30,11.600000000000001,559
2023,1,2,20,30,12.100000000000001,543
2023,1,2,21,30,12,464
2023,1,2,22,30,11.100000000000001,251
2023,1,2,23,30,9.1,111
2023,1,3,0,30,7.1000000000000005,0
2023,1,3,1,30,6.2,0
2023,1,3,2,30,5.6000000000000005,0
2023,1,3,3,30,5,0
2023,1,3,4,30,4.7,0
2023,1,3,5,30,4.3,0
2023,1,3,6,30,4,0
2023,1,3,7,30,3.6,0
2023,1,3,8,30,3.2,0
2023,1,3,9,30,2.9000000000000004,0
2023,1,3,10,30,2.7,0
2023,1,3,11,30,2.5,0
2023,1,3,12,30,2.5,0
2023,1,3,13,30,2.6,0
2023,1,3,14,30,3.3000000000000003,0
2023,1,3,15,30,5.2,76
2023,1,3,16,30,7.4,244
2023,1,3,17,30,9,177
2023,1,3,18,30,10.3,499
2023,1,3,19,30,11.600000000000001,361
2023,1,3,20,30,12.5,533
2023,1,3,21,30,12.8,312
2023,1,3,22,30,12.100000000000001,257
2023,1,3,23,30,10.200000000000001,92
2023,1,4,0,30,8.6,5
2023,1,4,1,30,7.9,0
2023,1,4,2,30,6.9,0
2023,1,4,3,30,6.2,0
2023,1,4,4,30,5.9,0
2023,1,4,5,30,5.9,0
2023,1,4,6,30,5.6000000000000005,0
2023,1,4,7,30,5,0
2023,1,4,8,30,4.5,0
2023,1,4,9,30,5,0
2023,1,4,10,30,5.300000000000001,0
2023,1,4,11,30,5.2,0
2023,1,4,12,30,5.2,0
2023,1,4,13,30,5.5,0
2023,1,4,14,30,6,0
2023,1,4,15,30,6.800000000000001,14
2023,1,4,16,30,7.9,93
2023,1,4,17,30,9.1,70
2023,1,4,18,30,10.3,158
2023,1,4,19,30,11.200000000000001,315
2023,1,4,20,30,11.9,22
2023,1,4,21,30,12.100000000000001,18
2023,1,4,22,30,11.700000000000001,5
2023,1,4,23,30,10.4,3
2023,1,5,0,30,9.1,3
2023,1,5,1,30,8.6,0
2023,1,5,2,30,8.200000000000001,0
2023,1,5,3,30,7.9,0
2023,1,5,4,30,7.7,0
2023,1,5,5,30,7.6000000000000005,0
2023,1,5,6,30,7.4,0
2023,1,5,7,30,7.1000000000000005,0
2023,1,5,8,30,6.9,0
2023,1,5,9,30,6.7,0
2023,1,5,10,30,6.6000000000000005,0
2023,1,5,11,30,6.5,0
2023,1,5,12,30,6.5,0
2023,1,5,13,30,6.6000000000000005,0
2023,1,5,14,30,6.800000000000001,0
2023,1,5,15,30,7.5,34
2023,1,5,16,30,9.200000000000001,177
2023,1,5,17,30,11.100000000000001,153
2023,1,5,18,30,12.3,11
2023,1,5,19,30,12.600000000000001,130
2023,1,5,20,30,12.5,274
2023,1,5,21,30,12.4,114
2023,1,5,22,30,12,104
2023,1,5,23,30,10.5,110
2023,1,6,0,30,8.700000000000001,15
2023,1,6,1,30,7.800000000000001,0
2023,1,6,2,30,7.4,0
2023,1,6,3,30,7.1000000000000005,0
2023,1,6,4,30,6.9,0
2023,1,6,5,30,6.7,0
2023,1,6,6,30,6.4,0
2023,1,6,7,30,6,0
2023,1,6,8,30,5.5,0
2023,1,6,9,30,4.9,0
2023,1,6,10,30,4.3,0
2023,1,6,11,30,3.9000000000000004,0
2023,1,6,12,30,3.7,0
2023,1,6,13,30,3.6,0
2023,1,6,14,30,4.3,0
2023,1,6,15,30,6.6000000000000005,79
2023,1,6,16,30,9.700000000000001,250
2023,1,6,17,30,12.200000000000001,402
2023,1,6,18,30,14,508
2023,1,6,19,30,15,559
2023,1,6,20,30,15.600000000000001,545
2023,1,6,21,30,15.600000000000001,469
2023,1,6,22,30,14.700000000000001,342
2023,1,6,23,30,12.5,175
2023,1,7,0,30,10.5,19
2023,1,7,1,30,9.600000000000001,0
2023,1,7,2,30,9.1,0
2023,1,7,3,30,8.700000000000001,0
2023,1,7,4,30,8.1,0
2023,1,7,5,30,7.300000000000001,0
2023,1,7,6,30,6.4,0
2023,1,7,7,30,5.4,0
2023,1,7,8,30,4.5,0
2023,1,7,9,30,3.9000000000000004,0
2023,1,7,10,30,3.5,0
2023,1,7,11,30,3.2,0
2023,1,7,12,30,3,0
2023,1,7,13,30,2.8000000000000003,0
2023,1,7,14,30,3.5,0
2023,1,7,15,30,6.1000000000000005,55
2023,1,7,16,30,9.1,201
2023,1,7,17,30,11.200000000000001,224
2023,1,7,18,30,12.3,374
2023,1,7,19,30,12.700000000000001,452
2023,1,7,20,30,12.700000000000001,368
2023,1,7,21,30,12.5,219
2023,1,7,22,30,11.700000000000001,143
2023,1,7,23,30,10.600000000000001,111
2023,1,8,0,30,9.700000000000001,10
2023,1,8,1,30,9.200000000000001,0
2023,1,8,2,30,8.6,0
2023,1,8,3,30,8.200000000000001,0
2023,1,8,4,30,7.9,0
2023,1,8,5,30,7.5,0
2023,1,8,6,30,7,0
2023,1,8,7,30,6.7,0
2023,1,8,8,30,6.300000000000001,0
2023,1,8,9,30,5.800000000000001,0
2023,1,8,10,30,5.4,0
2023,1,8,11,30,5.1000000000000005,0
2023,1,8,12,30,4.9,0
2023,1,8,13,30,5,0
2023,1,8,14,30,5.4,0
2023,1,8,15,30,6.9,52
2023,1,8,16,30,9,247
2023,1,8,17,30,11.200000000000001,265
2023,1,8,18,30,13.600000000000001,208
2023,1,8,19,30,15.600000000000001,228
2023,1,8,20,30,16.7,541
2023,1,8,21,30,16.900000000000002,322
2023,1,8,22,30,15.9,340
2023,1,8,23,30,13.3,96
2023,1,9,0,30,11.100000000000001,12
2023,1,9,1,30,10,0
2023,1,9,2,30,9.1,0
2023,1,9,3,30,8.4,0
2023,1,9,4,30,7.9,0
2023,1,9,5,30,7.2,0
2023,1,9,6,30,6.4,0
2023,1,9,7,30,6.1000000000000005,0
2023,1,9,8,30,6.2,0
2023,1,9,9,30,6.1000000000000005,0
2023,1,9,10,30,6.4,0
2023,1,9,11,30,6.9,0
2023,1,9,12,30,7.2,0
2023,1,9,13,30,7.2,0
2023,1,9,14,30,7.2,0
2023,1,9,15,30,7.800000000000001,18
2023,1,9,16,30,8.8,48
2023,1,9,17,30,9.9,42
