Year,Month,Day,Hour,Minute,Temperature,GHI,GHI ,CTemp,PowerOutput_W
2023,1,1,0,30,11.8,0,0,11.8,0.0
2023,1,1,1,30,11.2,0,0,11.2,0.0
2023,1,1,2,30,10.9,0,0,10.9,0.0
2023,1,1,3,30,10.8,0,0,10.8,0.0
2023,1,1,4,30,10.8,0,0,10.8,0.0
2023,1,1,5,30,10.7,0,0,10.7,0.0
2023,1,1,6,30,10.7,0,0,10.7,0.0
2023,1,1,7,30,10.7,0,0,10.7,0.0
2023,1,1,8,30,10.6,0,0,10.6,0.0
2023,1,1,9,30,10.2,0,0,10.2,0.0
2023,1,1,10,30,9.8,0,0,9.8,0.0
2023,1,1,11,30,9.6,0,0,9.6,0.0
2023,1,1,12,30,9.7,0,0,9.7,0.0
2023,1,1,13,30,9.9,0,0,9.9,0.0
2023,1,1,14,30,10.0,0,0,10.0,0.0
2023,1,1,15,30,10.6,29,29,11.397499999999999,10.922834340000001
2023,1,1,16,30,11.8,212,212,17.630000000000003,78.23242656
2023,1,1,17,30,13.0,393,393,23.8075,142.05363066000004
2023,1,1,18,30,14.0,205,205,19.6375,75.1455585
2023,1,1,19,30,14.7,545,545,29.6875,193.07306250000002
2023,1,1,20,30,14.9,459,459,27.5225,163.82281913999998
2023,1,1,21,30,14.5,347,347,24.0425,125.32667706
2023,1,1,22,30,13.6,8,8,13.82,2.98947456
2023,1,1,23,30,11.5,100,100,14.25,37.3158
2023,1,2,0,30,9.5,0,0,9.5,0.0
2023,1,2,1,30,8.700000000000001,0,0,8.700000000000001,0.0
2023,1,2,2,30,8.3,0,0,8.3,0.0
2023,1,2,3,30,7.800000000000001,0,0,7.800000000000001,0.0
2023,1,2,4,30,7.4,0,0,7.4,0.0
2023,1,2,5,30,7.0,0,0,7.0,0.0
2023,1,2,6,30,6.6000000000000005,0,0,6.6000000000000005,0.0
2023,1,2,7,30,6.0,0,0,6.0,0.0
2023,1,2,8,30,5.2,0,0,5.2,0.0
2023,1,2,9,30,4.4,0,0,4.4,0.0
2023,1,2,10,30,3.8,0,0,3.8,0.0
2023,1,2,11,30,3.3000000000000003,0,0,3.3000000000000003,0.0
2023,1,2,12,30,2.9000000000000004,0,0,2.9000000000000004,0.0
2023,1,2,13,30,2.5,0,0,2.5,0.0
2023,1,2,14,30,2.9000000000000004,0,0,2.9000000000000004,0.0
2023,1,2,15,30,5.2,80,80,7.4,30.523391999999998
2023,1,2,16,30,7.7,250,250,14.575,93.19005
2023,1,2,17,30,9.5,404,404,20.61,147.61083744000004
2023,1,2,18,30,10.8,508,508,24.770000000000003,183.02301216
2023,1,2,19,30,11.6,559,559,26.972499999999997,199.89038394000002
2023,1,2,20,30,12.1,543,543,27.0325,194.12913546000001
2023,1,2,21,30,12.0,464,464,24.759999999999998,167.17630464
2023,1,2,22,30,11.1,251,251,18.002499999999998,92.50979994000001
2023,1,2,23,30,9.1,111,111,12.1525,41.705512739999996
2023,1,3,0,30,7.1000000000000005,0,0,7.1000000000000005,0.0
2023,1,3,1,30,6.2,0,0,6.2,0.0
2023,1,3,2,30,5.6000000000000005,0,0,5.6000000000000005,0.0
2023,1,3,3,30,5.0,0,0,5.0,0.0
2023,1,3,4,30,4.7,0,0,4.7,0.0
2023,1,3,5,30,4.3,0,0,4.3,0.0
2023,1,3,6,30,4.0,0,0,4.0,0.0
2023,1,3,7,30,3.6,0,0,3.6,0.0
2023,1,3,8,30,3.2,0,0,3.2,0.0
2023,1,3,9,30,2.9000000000000004,0,0,2.9000000000000004,0.0
2023,1,3,10,30,2.7,0,0,2.7,0.0
2023,1,3,11,30,2.5,0,0,2.5,0.0
2023,1,3,12,30,2.5,0,0,2.5,0.0
2023,1,3,13,30,2.6,0,0,2.6,0.0
2023,1,3,14,30,3.3000000000000003,0,0,3.3000000000000003,0.0
2023,1,3,15,30,5.2,76,76,7.29,29.00745504
2023,1,3,16,30,7.4,244,244,14.11,91.09236383999999
2023,1,3,17,30,9.0,177,177,13.8675,66.13183386
2023,1,3,18,30,10.3,499,499,24.0225,180.23703354
2023,1,3,19,30,11.6,361,361,21.5275,131.49437274000002
2023,1,3,20,30,12.5,533,533,27.1575,190.47246426
2023,1,3,21,30,12.8,312,312,21.380000000000003,113.70243456
2023,1,3,22,30,12.1,257,257,19.1675,94.35471786000001
2023,1,3,23,30,10.2,92,92,12.73,34.50170015999999
2023,1,4,0,30,8.6,5,5,8.737499999999999,1.8995265
2023,1,4,1,30,7.9,0,0,7.9,0.0
2023,1,4,2,30,6.9,0,0,6.9,0.0
2023,1,4,3,30,6.2,0,0,6.2,0.0
2023,1,4,4,30,5.9,0,0,5.9,0.0
2023,1,4,5,30,5.9,0,0,5.9,0.0
2023,1,4,6,30,5.6000000000000005,0,0,5.6000000000000005,0.0
2023,1,4,7,30,5.0,0,0,5.0,0.0
2023,1,4,8,30,4.5,0,0,4.5,0.0
2023,1,4,9,30,5.0,0,0,5.0,0.0
2023,1,4,10,30,5.300000000000001,0,0,5.300000000000001,0.0
2023,1,4,11,30,5.2,0,0,5.2,0.0
2023,1,4,12,30,5.2,0,0,5.2,0.0
2023,1,4,13,30,5.5,0,0,5.5,0.0
