Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2532910,-,-,-,25.82,-80.17,0,2,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,GHI
2023,1,1,0,30,24.200000000000003,0
2023,1,1,1,30,24,0
2023,1,1,2,30,23.900000000000002,0
2023,1,1,3,30,23.8,0
2023,1,1,4,30,23.700000000000003,0
2023,1,1,5,30,23.6,0
2023,1,1,6,30,23.5,0
2023,1,1,7,30,23.5,0
2023,1,1,8,30,23.5,0
2023,1,1,9,30,23.5,0
2023,1,1,10,30,23.5,0
2023,1,1,11,30,23.6,0
2023,1,1,12,30,23.900000000000002,42
2023,1,1,13,30,24.5,224
2023,1,1,14,30,25,409
2023,1,1,15,30,25.5,550
2023,1,1,16,30,25.900000000000002,641
2023,1,1,17,30,26.200000000000003,668
2023,1,1,18,30,26.400000000000002,629
2023,1,1,19,30,26.400000000000002,525
2023,1,1,20,30,26.200000000000003,368
2023,1,1,21,30,25.6,180
2023,1,1,22,30,25,17
2023,1,1,23,30,24.5,0
2023,1,2,0,30,24.3,0
2023,1,2,1,30,24.1,0
2023,1,2,2,30,24,0
2023,1,2,3,30,23.900000000000002,0
2023,1,2,4,30,23.900000000000002,0
2023,1,2,5,30,23.900000000000002,0
2023,1,2,6,30,23.900000000000002,0
2023,1,2,7,30,23.900000000000002,0
2023,1,2,8,30,23.900000000000002,0
2023,1,2,9,30,23.8,0
2023,1,2,10,30,23.700000000000003,0
2023,1,2,11,30,23.700000000000003,0
2023,1,2,12,30,24.1,41
2023,1,2,13,30,24.6,222
2023,1,2,14,30,24.900000000000002,407
2023,1,2,15,30,25.3,401
2023,1,2,16,30,25.5,642
2023,1,2,17,30,25.6,670
2023,1,2,18,30,25.6,629
2023,1,2,19,30,25.5,524
2023,1,2,20,30,25.3,369
2023,1,2,21,30,24.900000000000002,183
2023,1,2,22,30,24.5,18
2023,1,2,23,30,24.3,0
2023,1,3,0,30,24.200000000000003,0
2023,1,3,1,30,24.200000000000003,0
2023,1,3,2,30,24.1,0
2023,1,3,3,30,24.1,0
2023,1,3,4,30,24.1,0
2023,1,3,5,30,24,0
2023,1,3,6,30,24,0
2023,1,3,7,30,24,0
2023,1,3,8,30,23.900000000000002,0
2023,1,3,9,30,23.900000000000002,0
2023,1,3,10,30,23.900000000000002,0
2023,1,3,11,30,24,0
2023,1,3,12,30,24.400000000000002,40
2023,1,3,13,30,24.900000000000002,221
2023,1,3,14,30,25.200000000000003,407
2023,1,3,15,30,25.5,552
2023,1,3,16,30,25.700000000000003,646
2023,1,3,17,30,25.8,674
2023,1,3,18,30,25.900000000000002,636
2023,1,3,19,30,25.8,533
2023,1,3,20,30,25.700000000000003,377
2023,1,3,21,30,25.3,189
2023,1,3,22,30,24.900000000000002,20
2023,1,3,23,30,24.700000000000003,0
2023,1,4,0,30,24.6,0
