Year,Month,Day,Hour,Minute,GHI,Temperature,GHI ,CTemp,PowerOutput_W
2023,1,1,0,30,0,7.800000000000001,0,7.800000000000001,0.0
2023,1,1,1,30,0,8.0,0,8.0,0.0
2023,1,1,2,30,0,7.9,0,7.9,0.0
2023,1,1,3,30,0,7.9,0,7.9,0.0
2023,1,1,4,30,0,7.7,0,7.7,0.0
2023,1,1,5,30,0,7.0,0,7.0,0.0
2023,1,1,6,30,0,6.6000000000000005,0,6.6000000000000005,0.0
2023,1,1,7,30,0,6.2,0,6.2,0.0
2023,1,1,8,30,0,5.9,0,5.9,0.0
2023,1,1,9,30,0,5.7,0,5.7,0.0
2023,1,1,10,30,0,5.5,0,5.5,0.0
2023,1,1,11,30,0,5.2,0,5.2,0.0
2023,1,1,12,30,6,5.4,6,5.565,2.30273064
2023,1,1,13,30,145,6.2,145,10.1875,54.828922500000004
2023,1,1,14,30,285,7.300000000000001,285,15.137500000000001,106.04043449999999
2023,1,1,15,30,296,8.200000000000001,296,16.340000000000003,109.69755264
2023,1,1,16,30,446,8.9,446,21.165,162.65354184000003
2023,1,1,17,30,444,9.5,444,21.71,161.62797023999997
2023,1,1,18,30,388,9.8,388,20.47,141.83135136
2023,1,1,19,30,281,9.2,281,16.9275,103.93648794
2023,1,1,20,30,141,7.300000000000001,141,11.1775,53.14554234
2023,1,1,21,30,2,5.7,2,5.755,0.76711176
2023,1,1,22,30,0,5.1000000000000005,0,5.1000000000000005,0.0
2023,1,1,23,30,0,4.6000000000000005,0,4.6000000000000005,0.0
2023,1,2,0,30,0,4.1000000000000005,0,4.1000000000000005,0.0
2023,1,2,1,30,0,3.6,0,3.6,0.0
2023,1,2,2,30,0,3.4000000000000004,0,3.4000000000000004,0.0
2023,1,2,3,30,0,3.5,0,3.5,0.0
2023,1,2,4,30,0,3.7,0,3.7,0.0
2023,1,2,5,30,0,3.3000000000000003,0,3.3000000000000003,0.0
2023,1,2,6,30,0,2.9000000000000004,0,2.9000000000000004,0.0
2023,1,2,7,30,0,3.1,0,3.1,0.0
2023,1,2,8,30,0,3.0,0,3.0,0.0
2023,1,2,9,30,0,2.6,0,2.6,0.0
2023,1,2,10,30,0,2.5,0,2.5,0.0
2023,1,2,11,30,0,2.8000000000000003,0,2.8000000000000003,0.0
2023,1,2,12,30,3,3.8,3,3.8825,1.15754346
2023,1,2,13,30,60,5.5,60,7.15,22.910904
2023,1,2,14,30,27,7.4,27,8.1425,10.277106660000001
2023,1,2,15,30,62,8.9,62,10.605,23.41240776
2023,1,2,16,30,217,10.0,217,15.9675,80.51910426
2023,1,2,17,30,295,10.7,295,18.8125,108.4341825
2023,1,2,18,30,140,11.0,140,14.85,52.13930400000001
2023,1,2,19,30,103,10.6,103,13.4325,38.53833786
2023,1,2,20,30,4,9.4,4,9.51,1.5158390400000004
2023,1,2,21,30,2,8.3,2,8.355,0.76074696
2023,1,2,22,30,0,7.7,0,7.7,0.0
2023,1,2,23,30,0,7.4,0,7.4,0.0
